Date,Open,High,Low,Close,Volume
01/03/2022,13716.7,13777.04,13441.32,13532.46,6131.35
28/02/2022,13570.83,13810.64,13549.9,13751.4,5928.13
25/02/2022,13485.26,13696.86,13358.29,13694.62,4628.72
24/02/2022,12587.88,13486.11,12587.88,13473.59,6180.2
23/02/2022,13511.75,13533.78,13032.17,13037.49,4639.33
22/02/2022,13424.36,13618.72,13249.65,13381.52,4849.17
18/02/2022,13735.4,13762.4,13465.56,13548.07,4501.94
17/02/2022,14004.19,14020.82,13704.7,13716.72,4278.37
16/02/2022,14038.92,14163.73,13931.99,14124.09,4238.56
15/02/2022,13997.18,14142.49,13976.29,14139.76,4416.84
14/02/2022,13768.97,13921.71,13664.76,13790.92,4347.35
11/02/2022,14213.62,14246.7,13733.16,13791.15,5237.32
10/02/2022,14228.68,14509.56,14118.2,14185.64,5212.51
09/02/2022,14368.16,14490.72,14330.87,14490.37,4729.73
08/02/2022,13984.43,14226.48,13934.78,14194.45,4293.77
07/02/2022,14118.79,14236.31,13974.1,14015.67,4268.73
04/02/2022,13958.48,14222.76,13850.39,14098.01,4121.34
03/02/2022,14045.83,14207.89,13851.74,13878.82,4326.3
02/02/2022,14494.47,14504.82,14264.65,14417.55,4673.14
01/02/2022,14277.43,14358.69,14070.77,14346,4671.85
31/01/2022,13812.19,14242.9,13767.71,14239.88,5124.94
28/01/2022,13436.71,13771.91,13236.56,13770.57,4971.93
27/01/2022,13710.99,13765.91,13322.66,13352.78,5177.38
26/01/2022,13871.77,14002.65,13392.19,13542.12,5771.14
25/01/2022,13610.87,13781.62,13414.14,13539.29,5019.38
24/01/2022,13481.5,13876.61,13094.65,13855.13,6998.77
21/01/2022,14046.22,14171.72,13764.24,13768.92,5870.83
20/01/2022,14462.85,14642.03,14140.78,14154.02,5102.05
19/01/2022,14582.22,14658.89,14331.65,14340.26,4665.34
18/01/2022,14681.83,14740.54,14482.94,14506.9,5060.79
14/01/2022,14708.02,14897.68,14689.43,14893.75,4374.02
13/01/2022,15245.04,15259.71,14782.24,14806.81,4302.02
12/01/2022,15263.1,15319.03,15117.29,15188.39,4338.53
11/01/2022,14919.26,15158.71,14837.63,15153.45,4390.71
10/01/2022,14751.78,14953.85,14530.23,14942.83,5317.18
07/01/2022,15095.72,15171.02,14877.63,14935.9,4238.07
06/01/2022,15024.15,15198.45,14914.87,15080.86,4790.82
05/01/2022,15547.16,15586.3,15095.18,15100.17,5031.85
04/01/2022,15852.14,15852.14,15512.41,15622.72,5131.11
03/01/2022,15732.5,15832.8,15644.09,15832.8,4429.96
31/12/2021,15722.91,15777.43,15643.94,15644.97,3392.58
30/12/2021,15758.98,15868.09,15729.16,15741.56,3750.92
29/12/2021,15794.92,15821.81,15679.85,15766.22,3714.38
28/12/2021,15895.2,15901.47,15757.07,15781.72,3648.5
27/12/2021,15696.83,15871.4,15696.83,15871.26,3743.92
23/12/2021,15544.79,15697.98,15528.91,15653.37,3935.01
22/12/2021,15319.16,15525.97,15303.06,15521.89,4107.9
21/12/2021,15140.43,15349.06,15015.03,15341.09,4581.72
20/12/2021,14933,15007.3,14860.04,14980.94,4602.64
17/12/2021,15036.77,15288.78,14960.37,15169.68,7668.77
16/12/2021,15629.08,15633.19,15119.49,15180.43,4906.48
15/12/2021,15230.71,15575.76,15055.23,15565.58,5343.92
14/12/2021,15215.96,15317.55,15097.35,15237.64,4865.99
13/12/2021,15621.27,15637.06,15408.25,15413.28,4573.92
10/12/2021,15629.59,15677.6,15477.85,15630.6,4426.21
09/12/2021,15720.54,15796.05,15511.12,15517.37,4515.6
08/12/2021,15690.65,15792.64,15618.88,15786.99,4615.39
07/12/2021,15510.91,15720.09,15507.66,15686.92,5116.49
06/12/2021,15117.63,15281.99,14931.61,15225.15,5115.23
03/12/2021,15428.71,15470.36,14931.06,15085.47,5900.29
02/12/2021,15181.82,15444.54,15150.12,15381.32,5418.34
01/12/2021,15752.27,15816.82,15243.93,15254.05,6320.26
30/11/2021,15716.5,15828.2,15451.39,15537.69,6631.47
29/11/2021,15719.42,15833.11,15644.61,15782.83,4836.23
26/11/2021,15664.38,15731.54,15456.09,15491.66,3502.17
24/11/2021,15677.88,15848.56,15591.36,15845.23,4197.09
23/11/2021,15809.5,15895.86,15601.46,15775.14,5434.38
22/11/2021,16120.92,16212.23,15851.04,15854.76,5567.83
19/11/2021,16042.16,16121.12,16017.23,16057.44,4875.31
18/11/2021,15973.39,16010.88,15848.83,15993.71,5391.36
17/11/2021,15973.62,15998.57,15909.39,15921.57,5049.32
16/11/2021,15840.32,15989.61,15825,15973.86,5533.02
15/11/2021,15894.82,15918.45,15778.31,15853.85,5020.18
12/11/2021,15752.62,15874.57,15705.38,15860.96,5446.54
11/11/2021,15752.08,15768.03,15695.77,15704.28,4570.46
10/11/2021,15753.84,15867.24,15543.68,15622.71,5369.11
09/11/2021,16024.13,16035.21,15836.68,15886.54,5574.66
08/11/2021,15995.72,16038.23,15961.81,15982.36,5723.65
05/11/2021,16003.56,16053.39,15900.78,15971.59,5566.4
04/11/2021,15849.74,15966.09,15827.66,15940.31,5297.25
03/11/2021,15658.52,15821.57,15616.44,15811.58,5325.11
02/11/2021,15583.98,15656.6,15569.27,15649.6,5129.37
01/11/2021,15541.26,15598.95,15470.82,15595.92,5273.95
29/10/2021,15323.29,15504.12,15323.29,15498.39,5338.29
28/10/2021,15304.74,15452.3,15290.31,15448.12,5714.89
27/10/2021,15276,15364.54,15235.84,15235.84,6130.11
26/10/2021,15317.5,15384,15198.23,15235.71,7173.23
25/10/2021,15142.92,15259.63,15070.75,15226.71,5750.2
22/10/2021,15158.07,15193.01,15021.02,15090.2,5775.77
21/10/2021,15104.8,15222.25,15094.14,15215.7,4961.86
20/10/2021,15160,15178.39,15071.15,15121.68,4117.05
19/10/2021,15073.13,15137.85,15049.73,15129.09,4483.4
18/10/2021,14839.74,15026.68,14833.28,15021.81,4167.74
15/10/2021,14891.24,14904.98,14847.96,14897.34,4494.44
14/10/2021,14717.5,14827.56,14699.52,14823.43,4262.4
13/10/2021,14537.17,14589.28,14471.88,14571.64,4053.58
12/10/2021,14539.09,14552.71,14441.6,14465.92,4063.83
11/10/2021,14540.08,14665.99,14482.62,14486.2,3539.54
08/10/2021,14694.72,14699.91,14569.68,14579.54,3571.38
07/10/2021,14631.8,14755.72,14615.14,14654.02,3984.18
06/10/2021,14289.45,14509.55,14259.07,14501.91,4465.91
05/10/2021,14312.86,14508.65,14299.78,14433.83,4176.39
04/10/2021,14493.12,14499.74,14181.69,14255.48,4557.11
01/10/2021,14494.93,14606.82,14324.01,14566.7,4710.72
30/09/2021,14582.6,14632.36,14444.3,14448.58,5950.95
29/09/2021,14614.88,14676.62,14493.67,14512.44,5294.6
28/09/2021,14787.21,14817.74,14539.88,14546.68,4989.51
27/09/2021,14954.18,15003.16,14864.96,14969.97,4650.79
24/09/2021,14961.61,15067.56,14946.57,15047.7,3992.15
23/09/2021,14960,15085.44,14932.51,15052.24,4196.13
22/09/2021,14800.59,14950.12,14767.01,14896.85,4252.49
21/09/2021,14803.36,14847.03,14696.47,14746.4,4083.01
20/09/2021,14758.14,14841.82,14530.07,14713.9,4879.49
17/09/2021,15163.36,15166.56,14998.73,15043.97,6709.54
16/09/2021,15120.09,15205.5,15047.14,15181.92,3701.5
15/09/2021,15071.34,15174.38,14984.68,15161.53,4465.14
14/09/2021,15168.45,15181.19,15008.3,15037.76,4593.14
